Datasets,Train/Tests,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
hog_features_128_16.csv,70/30,0.58,0.59,0.54,0.54,0.56,0.57,0.54,0.57,0.56,0.58
hog_features_128_16.csv,10-fold CV,0.62,0.61,0.60,0.62,0.59,0.60,0.58,0.60,0.58,0.61
hog_features_128_20.csv,70/30,0.57,0.60,0.56,0.60,0.59,0.63,0.61,0.63,0.57,0.61
hog_features_128_20.csv,10-fold CV,0.63,0.64,0.63,0.63,0.62,0.64,0.62,0.64,0.61,0.62
hog_features_256_16.csv,70/30,0.56,0.60,0.58,0.62,0.51,0.53,0.50,0.52,0.52,0.51
hog_features_256_16.csv,10-fold CV,0.59,0.61,0.58,0.61,0.59,0.60,0.57,0.59,0.56,0.58
hog_features_256_20.csv,70/30,0.61,0.58,0.58,0.58,0.54,0.54,0.51,0.54,0.50,0.53
hog_features_256_20.csv,10-fold CV,0.61,0.60,0.59,0.62,0.58,0.60,0.57,0.57,0.56,0.60
cnn_features_vgg16_128_avg.csv,70/30,0.59,0.58,0.59,0.58,0.60,0.60,0.55,0.57,0.56,0.57
cnn_features_vgg16_128_avg.csv,10-fold CV,0.55,0.55,0.56,0.54,0.57,0.57,0.56,0.58,0.57,0.59
cnn_features_vgg16_128_max.csv,70/30,0.58,0.62,0.58,0.60,0.61,0.61,0.63,0.63,0.63,0.64
cnn_features_vgg16_128_max.csv,10-fold CV,0.55,0.55,0.57,0.58,0.59,0.59,0.59,0.61,0.61,0.62
cnn_features_vgg16_256_avg.csv,70/30,0.61,0.57,0.58,0.60,0.61,0.61,0.59,0.60,0.62,0.63
cnn_features_vgg16_256_avg.csv,10-fold CV,0.59,0.60,0.60,0.60,0.59,0.60,0.61,0.60,0.60,0.60
cnn_features_vgg16_256_max.csv,70/30,0.48,0.50,0.51,0.54,0.53,0.54,0.51,0.54,0.52,0.53
cnn_features_vgg16_256_max.csv,10-fold CV,0.53,0.54,0.57,0.57,0.55,0.57,0.55,0.54,0.56,0.57
cnn_features_vgg19_128_avg.csv,70/30,0.63,0.61,0.61,0.62,0.60,0.60,0.64,0.66,0.63,0.66
cnn_features_vgg19_128_avg.csv,10-fold CV,0.62,0.59,0.61,0.62,0.61,0.62,0.63,0.64,0.63,0.62
cnn_features_vgg19_128_max.csv,70/30,0.56,0.58,0.57,0.61,0.60,0.58,0.60,0.60,0.58,0.62
cnn_features_vgg19_128_max.csv,10-fold CV,0.57,0.57,0.60,0.60,0.61,0.61,0.62,0.62,0.62,0.62
cnn_features_vgg19_256_avg.csv,70/30,0.56,0.56,0.58,0.61,0.58,0.56,0.60,0.60,0.60,0.60
cnn_features_vgg19_256_avg.csv,10-fold CV,0.58,0.54,0.57,0.58,0.58,0.57,0.58,0.58,0.58,0.57
cnn_features_vgg19_256_max.csv,70/30,0.50,0.50,0.58,0.56,0.58,0.59,0.62,0.60,0.63,0.64
cnn_features_vgg19_256_max.csv,10-fold CV,0.54,0.53,0.55,0.55,0.57,0.56,0.56,0.56,0.57,0.57